equipment_type_desc,circuit_label_type_desc,sum_power,category
Unknown - Water Heater - Unknown,Instantaneous Water Heater (Elec),1325.654,Heating
"Unknown , Likely Furnace",Other,18.696,Other
Unknown,Other,25.472,Other
Unknown,Other,67.30199999999999,Other
Unknown,Other,355.196,Other
Unknown,Other,592.308,Other
Unknown,Other,117.222,Other
Unknown,Other,1.508,Other
Unknown,Other,23.437,Other
Unknown,Other,1.324,Other
Unknown,Other,21.367,Other
Unknown,Other,1.603,Other
Unknown,Other,39.461,Other
Unknown Cct,Other,36.711,Other
Unknown Circuit,Other,203.43200000000002,Other
Unknown Circuit,Other,1.6469999999999998,Other
Unknown Circuit 1,Other,67.412,Other
Unknown Circuit 2,Other,5.606,Other
Unknown Device,Other,318.427,Other
Unknown Device Name,Dishwasher,68.281,Appliances
Unknown Device Name,Electric Furnace,3834.7169999999996,Heating
Unknown Device Name,Garbage Disposal,1.992,Appliances
Unknown Device Name,Gas Furnace (Component),1205.536,Heating
Unknown Device Name,Hot Tub,60.828,Other
Unknown Device Name,Other,10482.705999999995,Other
Unknown Device Name 1,Other,0.166,Other
Unknown Device Name 2,Other,0.098,Other
Unknown Equipment,Other,331.99,Other
Unknown Fuel Type - Bathroom Vent,Other,1444.931,Other
Unknown Fuel Type - Central Vac,Other,130.001,Other
Unknown Fuel Type - Dishwasher,Dishwasher,7791.680999999987,Appliances
Unknown Fuel Type - Dishwasher,Other,0.005,Other
Unknown Fuel Type - Heater,Gas Furnace (Component),459.413,Heating
Unknown Fuel Type - Hot Tub,Hot Tub,1884.65,Other
Unknown Fuel Type - Irrigation Pump,Other,1.037,Other
Unknown Fuel Type - Kiln,Other,1245.674,Other
Unknown Fuel Type - Kitchen Vent,Other,533.969,Other
Unknown Fuel Type - Refrigerator/Freezer,Other,707.311,Other
Unknown Fuel Type - Refrigerator/Freezer,Refrigerator/Freezer,14803.780999999997,Appliances
Unknown Fuel Type - Sauna,Other,6.851,Other
Unknown Fuel Type - Washer,Clothes Dryer,80.753,Appliances
Unknown Fuel Type - Washer,Clothes Washer,2778.757999999997,Appliances
Unknown Fuel Type - Washer,Other,185.428,Other
Unknown Fuel Type - Water Pressure Tank,Other,30.931,Other
Unknown Fuel Type - Well Pump,Other,79.719,Other
Unknown Fuel Type - Whole House Fan,Other,218.783,Other
Unknown Lights And Outlets,Other,46.673,Other
Unknown Unplugged Circuit,Other,14.531,Other
Unlabeled 1,Other,93.73,Other
Unlabeled 2,Other,189.775,Other
Up Bath Hall Utility Stair,Other,299.428,Other
Uphall Bedroom,Other,139.282,Other
Upper Bath,Other,0,Other
Upper South Bedroom + Attic,Other,48.328,Other
Upstairs Bath,Other,23.319,Other
Upstairs Bath,Other,12.629,Other
"Upstairs Bath Plug, Living Room",Other,35.268,Other
Upstairs Bathroom Outlets,Other,5.632,Other
Upstairs Bedroom,Other,0.09,Other
Upstairs Bedroom,Other,74.173,Other
Upstairs Bedroom Outlets,Other,6.1160000000000005,Other
Upstairs Except Room W/ Router,Other,45.35,Other
"Upstairs Hall, Bath, Utility",Other,2.033,Other
"Upstairs Hall, Master Bed, Bath Lights",Other,107.822,Other
Upstairs Hallway Up Br,Other,49.557,Other
Upstairs Heat 1,Electric Baseboard Heaters,535.374,Heating
Upstairs Heat 2,Electric Baseboard Heaters,550.28,Heating
Upstairs Lights,Other,148.703,Other
Upstairs Lights,Other,93.787,Other
Upstairs Lights & Outlets,Other,143.422,Other
Upstairs Lights And Outlets,Other,68.67999999999999,Other
Upstairs Lights/Plugs,Other,566.5120000000001,Other
Upstairs Living Room,Other,235.692,Other
Upstairs Outlets,Other,254.167,Other
Upstairs Plugs,Other,3.568,Other
"Upstairs, Microwave, Phone",Other,13.011,Other
Util + Kit Ceiling Light,Other,241.039,Other
Utility,Other,102.571,Other
Utility,Other,18.008,Other
Utility Back Door Rec Room Plugs Kitchen Plugs,Other,48.886,Other
Utility Light,Other,5.984,Other
Utility Outlets,Other,6.438,Other
Utility Plugs,Other,1.037,Other
Utility Rm Htr & ?,Other,0,Other
Utility Room,Other,16.202,Other
Utility Room Plug,Other,14.929,Other
"Utility, Fam, Hall",Other,846.133,Other
Utility/Entry/Hall Lts,Other,228.69,Other
Vacume,Other,0.003,Other
Various,Other,101.196,Other
Various Appliances,Other,302.725,Other
Various Appliances - Kitchen Outlets?,Other,340.184,Other
Various Lighting,Other,296.465,Other
Various Lights,Other,301.013,Other
Various Outlets,Other,817.815,Other
W Bedrooms,Other,612.467,Other
Wall Heater,Other Zonal Heat,0.841,Heating
Wall Outlet Kitchen,Other,10.455,Other
Wall Outlets To Edward's Room & Edward's Room & Laundry Pointer,Other,357.494,Other
Warming Drawer,Other,0,Other
Warming Drawer,Other,0.781,Other
Wash Machine,Other,17.012,Other
Wash Room,Other,32.045,Other
Washer,Clothes Washer,429.635,Appliances
Washer,Clothes Washer,1582.29,Appliances
Washer,Other,1596.15,Other
Washer & Dryer,Other,359.988,Other
Washer + Other,Other,22.485000000000003,Other
Washer + Others,Other,9.164,Other
Washer + Others,Clothes Washer,9.978,Appliances
Washer Dryer,Other,65.53,Other
Washer Outlet,Other,226.328,Other
Washer Outlet,Clothes Washer,11.784,Appliances
"Washer, Refrigerator, Etc",Other,201.869,Other
Washer/Dryer Outlet Only,Other,42.09,Other
Washing Mach,Clothes Washer,13.904,Appliances
Washing Mach,Other,75.342,Other
Washing Machine/Laundry Room Outlet,Clothes Washer,17.993,Appliances
Water Feature,Other,254.14600000000002,Other
Water Fountain,Other,2.832,Other
Water Heater,Electric Resistance Storage Water Heaters,3191.72,Heating
Water Heater,Instantaneous Water Heater (Elec),638.21,Heating
Water Heater,Electric Resistance Storage Water Heaters,3291.984,Heating
Water Heater,Instantaneous Water Heater (Elec),326.844,Heating
Water Heater,Instantaneous Water Heater (Gas),79.742,Heating
